flag,h5ad,Z_values,3D_forward,x_shift,y_shift
s116,path/s116.fu100.h5ad,116,"[[0.999542046938379, 0.030260475908937635, 550.4328335670883], [-0.030260475908937635, 0.999542046938379, 727.7264740966813], [0.0, 0.0, 1.0]]",6157,4650
s118,path/s118.fu100.h5ad,118,"[[0.990423184090397, 0.13806489929101917, 417.12075210761327], [-0.13806489929101917, 0.990423184090397, 897.028592529768], [0.0, 0.0, 1.0]]",6250,11600
s119,path/s119.fu100.h5ad,119,"[[0.9989647687724014, 0.04549055672888179, 434.7306007491288], [-0.04549055672888179, 0.9989647687724014, 739.2788144283069], [0.0, 0.0, 1.0]]",10100,5450
s120,path/s120.fu100.h5ad,120,"[[0.9997947048416651, 0.020261988317238907, 546.9165710724404], [-0.020261988317238907, 0.9997947048416651, 760.0410910468953], [0.0, 0.0, 1.0]]",10300,9000
s121,path/s121.fu100.h5ad,121,"[[0.9945808211855378, 0.1039662932392086, 459.46414388762776], [-0.1039662932392086, 0.9945808211855378, 764.47656001618], [0.0, 0.0, 1.0]]",10450,12550
s122,path/s122.fu100.h5ad,122,"[[-0.9991974449487826, -0.040055786196538386, 2271.3719540119064], [0.040055786196538386, -0.9991974449487826, 2859.016895509463], [0.0, 0.0, 1.0]]",11550,12100
s123,path/s123.fu100.h5ad,123,"[[-0.9900393401438986, -0.14079099746586454, 2479.4307492494536], [0.14079099746586454, -0.9900393401438986, 2980.6172821440373], [0.0, 0.0, 1.0]]",11250,8150
s124,path/s124.fu100.h5ad,124,"[[-0.9879247716676103, -0.15493432649190364, 2522.5186137310347], [0.15493432649190364, -0.9879247716676103, 2936.2060743003212], [0.0, 0.0, 1.0]]",11100,4100
s125,path/s125.fu100.h5ad,125,"[[-0.9898343774788045, -0.1422248401691782, 2557.286853243658], [0.1422248401691782, -0.9898343774788045, 2960.540792146672], [0.0, 0.0, 1.0]]",6600,12100
s126,path/s126.fu100.h5ad,126,"[[-0.9960438757491127, -0.08886280201910102, 2417.366551242015], [0.08886280201910102, -0.9960438757491127, 2961.6146053556336], [0.0, 0.0, 1.0]]",6450,7750
s127,path/s127.fu100.h5ad,127,"[[-0.9971616326568814, -0.07529062595742927, 2363.0930715506443], [0.07529062595742927, -0.9971616326568814, 2934.077706496012], [0.0, 0.0, 1.0]]",6400,3700
s134,path/s134.fu100.h5ad,134,"[[-0.11514858628916984, 0.9933482788406115, 775.8684796450943], [-0.9933482788406115, -0.11514858628916984, 2945.2151566886887], [0.0, 0.0, 1.0]]",10850,7150
s135,path/s135.fu100.h5ad,135,"[[-0.07637331653621915, 0.9970792929959281, 718.7035903361748], [-0.9970792929959281, -0.07637331653621915, 2995.7456974653387], [0.0, 0.0, 1.0]]",7450,7250
s136,path/s136.fu100.h5ad,136,"[[-0.1357347930969615, 0.9907452073782266, 743.336244960522], [-0.9907452073782266, -0.1357347930969615, 2966.963646982542], [0.0, 0.0, 1.0]]",4100,7300
s140,path/s140.fu100.h5ad,140,"[[0.9878047516980752, 0.15569769594539026, 687.0156898259654], [-0.15569769594539026, 0.9878047516980752, 1514.191197780508], [0.0, 0.0, 1.0]]",7240,5720
s141,path/s141.fu100.h5ad,141,"[[0.988217634103753, 0.15305524377290008, 812.6244073834162], [-0.15305524377290008, 0.988217634103753, 1465.1013660530182], [0.0, 0.0, 1.0]]",7202,9450
s142,path/s142.fu100.h5ad,142,"[[0.9952033719631397, 0.09782764656883017, 677.1927644615557], [-0.09782764656883017, 0.9952033719631397, 1452.0655255964623], [0.0, 0.0, 1.0]]",7300,13350
s143,path/s143.fu100.h5ad,143,"[[0.9887698175111516, 0.149446471952214, 683.8195645034275], [-0.149446471952214, 0.9887698175111516, 1459.5243185324764], [0.0, 0.0, 1.0]]",10700,5601
s144,path/s144.fu100.h5ad,144,"[[0.9891047298616414, 0.14721356379536008, 732.4876674262639], [-0.14721356379536008, 0.9891047298616414, 1486.9548273740681], [0.0, 0.0, 1.0]]",10950,9500
s145,path/s145.fu100.h5ad,145,"[[0.9974901846438043, 0.07080488358347131, 776.7125927948746], [-0.07080488358347131, 0.9974901846438043, 1438.177055515515], [0.0, 0.0, 1.0]]",10800,13650
s146,path/s146.fu100.h5ad,146,"[[0.9369216649279539, 0.3495394023406117, 752.3385560146253], [-0.3495394023406117, 0.9369216649279539, 1693.7706189671367], [0.0, 0.0, 1.0]]",8050,14550
s148,path/s148.fu100.h5ad,148,"[[0.9953651634404679, 0.0961675174325038, 802.1561446906032], [-0.0961675174325038, 0.9953651634404679, 1496.3089662873856], [0.0, 0.0, 1.0]]",8700,6050
s149,path/s149.fu100.h5ad,149,"[[0.8713062337174753, 0.4907396938144161, 629.0181146330756], [-0.4907396938144161, 0.8713062337174753, 1815.826272026931], [0.0, 0.0, 1.0]]",4300,14750
